Cancer,Articles,Country,ASR
Gallbladder cancer,0.0,Burkina Faso,0.2750171885742859
Hodgkin lymphoma,2.2222222222222223,Burkina Faso,0.1125070316894806
Kaposi sarcoma,1.1111111111111112,Burkina Faso,0.40002500156259774
Kidney cancer,0.0,Burkina Faso,1.187574223388962
Laryngeal cancer,0.0,Burkina Faso,0.5437839864991563
Leukemia,6.666666666666667,Burkina Faso,2.187636727295456
Liver cancer,8.88888888888889,Burkina Faso,10.68816801050066
Lung cancer,8.88888888888889,Burkina Faso,2.375148446777924
Mesothelioma,0.0,Burkina Faso,0.03750234389649353
Mouth cancer,0.0,Burkina Faso,1.187574223388962
Multiple myeloma,0.0,Burkina Faso,1.0000625039064943
Non-Hodgkin lymphoma,2.2222222222222223,Burkina Faso,1.4375898493655854
Ovarian cancer,1.1111111111111112,Burkina Faso,5.312832052003251
Pancreatic cancer,0.0,Burkina Faso,4.125257828614289
Penile cancer,0.0,Burkina Faso,0.0
Prostate cancer,13.333333333333334,Burkina Faso,22.063878992437026
Rectal cancer,1.1111111111111112,Burkina Faso,0.38127382961435097
Salivary gland cancer,0.0,Burkina Faso,0.5437839864991563
Skin cancer,4.444444444444445,Burkina Faso,1.5250953184574039
Stomach cancer,0.0,Burkina Faso,2.43765235327208
Testicular cancer,0.0,Burkina Faso,0.15625976623538973
Throat cancer,0.0,Burkina Faso,0.2625164072754547
Thyroid cancer,0.0,Burkina Faso,0.5187824239014939
Uterine cancer,0.0,Burkina Faso,3.937746109131821
Vaginal cancer,0.0,Burkina Faso,0.2937683605225327
Vulvar cancer,0.0,Burkina Faso,0.2937683605225327
Anal cancer,0.14258555133079848,Chile,0.14145324597974984
Bladder cancer,1.9961977186311788,Chile,1.7495533055390111
Brain cancer,3.279467680608365,Chile,1.153960690887433
Breast cancer,20.104562737642585,Chile,14.219773674806431
Cervical cancer,4.990494296577947,Chile,4.206372840976771
Colon cancer,2.5190114068441063,Chile,5.099761762954139
Colorectal cancer,5.750950570342205,Chile,7.556581298391898
Esophageal cancer,0.33269961977186313,Chile,0.8189398451459202
Gallbladder cancer,7.271863117870723,Chile,2.1217986896962473
Hodgkin lymphoma,1.520912547528517,Chile,0.4839189994044073
Kaposi sarcoma,0.09505703422053231,Chile,0.055836807623585456
Kidney cancer,1.7110266159695817,Chile,2.8290649195949964
Laryngeal cancer,0.09505703422053231,Chile,0.26429422275163783
Leukemia,8.127376425855513,Chile,2.2334723049434184
Liver cancer,2.043726235741445,Chile,1.7495533055390111
Lung cancer,2.946768060836502,Chile,4.727516378796902
Mesothelioma,0.28517110266159695,Chile,0.0930613460393091
Mouth cancer,0.04752851711026616,Chile,0.44669446098868365
Multiple myeloma,1.6159695817490494,Chile,1.0050625372245383
Non-Hodgkin lymphoma,1.0456273764258555,Chile,1.972900536033353
Ovarian cancer,4.562737642585551,Chile,2.345145920190589
Pancreatic cancer,1.188212927756654,Chile,2.0473496128648003
Penile cancer,0.04752851711026616,Chile,0.2494044073853484
Prostate cancer,9.363117870722434,Chile,23.190887432995826
Rectal cancer,0.6178707224334601,Chile,2.307921381774866
Salivary gland cancer,0.0,Chile,0.13773079213817746
Skin cancer,11.311787072243346,Chile,3.908576533650982
Stomach cancer,2.091254752851711,Chile,5.285884455032757
