Cancer,Articles,Country,ASR
Lung cancer,3.8793103448275863,Cyprus,6.55133089073836
Mesothelioma,0.43103448275862066,Cyprus,0.1334530366631888
Mouth cancer,0.0,Cyprus,0.4852837696843229
Multiple myeloma,1.293103448275862,Cyprus,0.9948317278528618
Non-Hodgkin lymphoma,0.0,Cyprus,2.7418532987164244
Ovarian cancer,3.663793103448276,Cyprus,2.5720039793269116
Pancreatic cancer,4.525862068965517,Cyprus,2.0867202096425883
Penile cancer,0.0,Cyprus,0.21837769635794532
Prostate cancer,7.543103448275862,Cyprus,14.776890786887632
Rectal cancer,0.8620689655172413,Cyprus,1.6499648169266978
Salivary gland cancer,0.0,Cyprus,0.13102661781476718
Skin cancer,5.603448275862069,Cyprus,3.4212505762744767
Stomach cancer,0.21551724137931033,Cyprus,1.4801154975371849
Testicular cancer,0.43103448275862066,Cyprus,1.6014364399582657
Throat cancer,0.0,Cyprus,0.22080411520636692
Thyroid cancer,4.310344827586207,Cyprus,7.716011937980734
Uterine cancer,1.293103448275862,Cyprus,4.294761361706258
Vaginal cancer,0.0,Cyprus,0.0
Vulvar cancer,0.0,Cyprus,0.23293620944847498
Anal cancer,0.0,Bolivia,0.04129032258064516
Bladder cancer,0.0,Bolivia,0.5161290322580645
Brain cancer,11.11111111111111,Bolivia,1.1870967741935483
Breast cancer,0.0,Bolivia,13.832258064516129
Cervical cancer,33.333333333333336,Bolivia,19.9741935483871
Colon cancer,11.11111111111111,Bolivia,2.47741935483871
Colorectal cancer,0.0,Bolivia,3.096774193548387
Esophageal cancer,0.0,Bolivia,0.7225806451612903
Gallbladder cancer,11.11111111111111,Bolivia,3.92258064516129
Hodgkin lymphoma,0.0,Bolivia,0.6193548387096774
Kaposi sarcoma,11.11111111111111,Bolivia,0.0
Kidney cancer,0.0,Bolivia,1.5483870967741935
Laryngeal cancer,0.0,Bolivia,0.6709677419354839
Leukemia,11.11111111111111,Bolivia,2.5290322580645164
Liver cancer,0.0,Bolivia,3.458064516129032
Lung cancer,0.0,Bolivia,4.387096774193548
Mesothelioma,0.0,Bolivia,0.0567741935483871
Mouth cancer,0.0,Bolivia,0.30451612903225805
Multiple myeloma,0.0,Bolivia,0.2167741935483871
Non-Hodgkin lymphoma,0.0,Bolivia,1.2903225806451613
Ovarian cancer,0.0,Bolivia,1.6
Pancreatic cancer,0.0,Bolivia,1.5483870967741935
Penile cancer,0.0,Bolivia,1.238709677419355
Prostate cancer,0.0,Bolivia,17.651612903225807
Rectal cancer,0.0,Bolivia,0.6193548387096774
Salivary gland cancer,0.0,Bolivia,0.34580645161290324
Skin cancer,11.11111111111111,Bolivia,3.92258064516129
Stomach cancer,0.0,Bolivia,4.49032258064516
Testicular cancer,0.0,Bolivia,0.7225806451612903
Throat cancer,0.0,Bolivia,0.40258064516129033
Thyroid cancer,0.0,Bolivia,1.0838709677419356
Uterine cancer,0.0,Bolivia,5.006451612903225
Vaginal cancer,0.0,Bolivia,0.25290322580645164
Vulvar cancer,0.0,Bolivia,0.2632258064516129
Anal cancer,0.0,Panama,0.13804773779836127
Bladder cancer,4.651162790697675,Panama,0.8015675097969364
Brain cancer,0.0,Panama,0.8906305664410403
Breast cancer,25.58139534883721,Panama,18.436052725329535
Cervical cancer,13.953488372093023,Panama,6.457071606697543
Colon cancer,2.3255813953488373,Panama,4.85393658710367
Colorectal cancer,9.30232558139535,Panama,6.724260776629855
Esophageal cancer,0.0,Panama,0.41859636622728896
Gallbladder cancer,0.0,Panama,0.4007837548984682
Hodgkin lymphoma,0.0,Panama,0.6679729248307803
Kaposi sarcoma,0.0,Panama,0.32508015675097973
Kidney cancer,4.651162790697675,Panama,1.6921980762379767
Laryngeal cancer,0.0,Panama,0.30281439258995374
Leukemia,0.0,Panama,3.1617385108656935
Liver cancer,4.651162790697675,Panama,1.9148557178482368
Lung cancer,4.651162790697675,Panama,2.850017812611329
Mesothelioma,0.0,Panama,0.008906305664410403
Mouth cancer,0.0,Panama,0.48984681154257226
Multiple myeloma,4.651162790697675,Panama,0.7125044531528323
Non-Hodgkin lymphoma,0.0,Panama,2.003918774492341
Ovarian cancer,2.3255813953488373,Panama,1.7812611328820807
Pancreatic cancer,0.0,Panama,1.3804773779836126
Penile cancer,2.3255813953488373,Panama,0.44531528322052016
Prostate cancer,9.30232558139535,Panama,25.026718916993236
Rectal cancer,0.0,Panama,1.6921980762379767
Salivary gland cancer,0.0,Panama,0.12023512646954045
Skin cancer,2.3255813953488373,Panama,2.137513359458497
Stomach cancer,4.651162790697675,Panama,3.918774492340578
Testicular cancer,0.0,Panama,0.6679729248307803
Throat cancer,0.0,Panama,0.5610972568578554
Thyroid cancer,0.0,Panama,2.538297114356965
Uterine cancer,4.651162790697675,Panama,6.100819380121126
Vaginal cancer,0.0,Panama,0.2003918774492341
Vulvar cancer,0.0,Panama,0.17812611328820807
Anal cancer,0.16750418760469013,Bulgaria,0.1583863981640107
Bladder cancer,2.2613065326633164,Bulgaria,3.4586417558263562
Brain cancer,4.690117252931323,Bulgaria,2.1980153214597404
Breast cancer,16.331658291457288,Bulgaria,17.066942496040337
